user_id,customer_id,name,email,role
1,1,James Powers,stephen10@example.com,Manager
2,1,Kristine Garcia,williamanderson@example.com,Admin
3,1,Sherry Wood,samueldaniels@example.com,Admin
4,1,Victoria Valdez,contrerasangela@example.net,Manager
5,1,Shawn Baker,newtoneric@example.com,Admin
6,1,Michelle Harris,william40@example.org,Admin
7,1,Sandra Williams,kellie42@example.net,Manager
8,1,Michael Hoffman,jonesnicole@example.org,User
9,1,Sandra Aguilar,russellwilliams@example.com,Admin
10,1,Rebecca Valencia,jason31@example.com,Manager
11,1,Stacey Russell,sarayoung@example.org,Admin
12,1,Rita Keith,whitesandra@example.com,Admin
13,1,Sharon Cochran,erik16@example.org,User
14,1,Courtney Velasquez,ybailey@example.org,Analyst
15,1,Matthew Ross,michelle45@example.net,Analyst
16,1,Meghan Anthony,sheila14@example.org,Manager
17,1,Victoria Johnson,yreed@example.com,Analyst
18,1,William Wilson,jonathanfletcher@example.org,Manager
19,1,Renee Mcdaniel,michaeljones@example.net,Analyst
20,1,Lisa Alvarado,cortezkevin@example.com,User
21,1,Erika Terry,jamesortega@example.com,Manager
22,1,Stephanie Gilbert,richard04@example.com,Analyst
23,1,Richard Lawson,steven73@example.net,User
24,1,Steven Flynn,donnacampbell@example.net,Analyst
25,1,Frances Cardenas,emilywalker@example.org,Admin
26,2,Angel Riggs,gibsonolivia@example.net,User
27,2,Michael Snyder,dylanwatts@example.org,Admin
28,2,Colleen Brock,pwilliams@example.org,Admin
29,3,Robert Contreras,stephanie79@example.net,Manager
30,3,Jessica Meadows,vmerritt@example.com,Analyst
31,3,Paul Larsen,katie87@example.net,Manager
32,3,Jeremiah Reeves,josephflores@example.net,Analyst
33,3,Chris Reyes,jasminebrown@example.com,Admin
34,3,John Brown,xprice@example.net,Manager
35,3,Alicia Gilmore,wwoods@example.com,Analyst
36,3,Sarah Ashley,vmedina@example.net,Analyst
37,3,Stephanie Freeman,ryan06@example.com,Manager
38,3,Rebecca Ramsey,ncalhoun@example.net,User
39,3,James Elliott,millerroy@example.com,Analyst
40,3,David Murphy,wmurphy@example.com,Admin
41,3,Trevor Fisher,ruizkaitlyn@example.org,Analyst
42,3,Mrs. Marie Harrington DDS,herringjames@example.org,Admin
43,3,Cynthia Wells,elliottjeffery@example.net,Manager
44,3,Jacob Obrien,stricklandfrank@example.com,Analyst
